#Frame      Mode1    Mode2    Mode3
     680  -41.264  -20.506   29.362
     681  -43.741  -32.840   11.781
     682  -50.748  -20.404   17.940
     683  -59.224  -15.666   16.515
     684  -46.890  -20.745   33.597
     685  -68.268  -16.137   17.798
     686  -52.855  -24.661   27.808
     687  -50.368  -24.845   19.602
     688  -44.537  -26.487   24.163
     689  -48.058  -40.890   21.110
     690  -37.491  -24.225   23.616
     691  -30.826  -35.683    9.710
     692  -45.450  -15.077   27.815
     693  -45.331  -16.608   27.165
     694  -51.055  -21.300    5.413
     695  -34.001  -27.650   34.167
     696  -39.457  -19.243   20.160
     697  -22.178  -39.186    5.905
     698  -23.210  -26.005   13.492
     699  -38.042  -29.515   19.614
     700  -27.816  -27.683   31.011
     701  -25.904  -36.033   27.630
     702  -24.980  -22.580   34.474
     703  -35.936  -15.483   31.608
     704  -29.145  -34.478   22.769
     705  -32.758  -42.279   20.907
     706  -46.212  -28.244   15.545
     707  -45.836  -29.337   11.600
     708  -36.636  -29.990   -0.535
     709  -37.510  -33.868   15.670
     710  -30.525  -43.058   26.417
     711  -47.583  -32.405   21.908
     712  -33.280  -34.806   20.186
     713  -50.003  -20.476   26.356
     714  -63.990   -4.022   25.076
     715  -56.135  -19.028   24.564
     716  -53.781  -10.011   28.432
     717  -43.405  -31.523   10.469
     718  -55.596  -15.225   32.948
     719  -52.541  -21.110   26.984
     720  -46.007  -11.055   38.101
     721  -43.878  -23.460   38.306
     722  -40.646  -23.547   47.061
     723  -41.598  -25.920   25.383
     724  -37.463  -19.660   22.292
     725  -32.860  -41.011   23.469
     726  -48.626  -27.944   18.705
     727  -31.046  -42.033   32.679
     728  -47.266  -22.130   38.065
     729  -47.411  -26.610   18.060
     730  -45.038  -40.914   12.500
     731  -49.515  -22.782   29.765
     732  -48.604  -32.220   13.799
     733  -45.706  -37.014   13.527
     734  -56.227  -26.727   27.890
     735  -39.007  -46.437   24.605
     736  -51.203  -21.362   29.104
     737  -50.434  -22.767   26.059
     738  -36.964  -37.024   27.295
     739  -41.657  -25.168   43.717
     740  -20.580  -39.272   35.726
     741  -43.123  -30.611   43.653
     742  -53.211  -22.867   38.070
     743  -68.770  -21.287   21.626
     744  -81.734    0.508   32.401
     745  -61.135  -18.636   34.652
     746  -72.175  -13.056   30.949
     747  -60.357  -17.612   23.466
     748  -50.412  -29.316   20.067
     749  -54.453  -17.985   26.897
     750  -56.373  -17.059   42.298
     751  -50.594  -38.074   15.363
     752  -54.794  -33.699   19.798
     753  -54.919  -40.243   14.131
     754  -66.163  -14.271   27.073
     755  -34.593  -27.396   31.462
     756  -47.266  -22.127   37.236
     757  -45.065  -28.975   23.851
     758  -70.237  -12.380   18.990
     759  -78.845   -5.487   32.192
     760  -78.414  -10.897   31.178
     761  -83.196  -15.291   24.011
     762  -67.234   -8.817   37.462
     763  -64.390  -21.152   31.048
     764  -83.276   -0.554   32.333
     765  -74.123   -7.516   37.987
     766  -68.362  -13.560   42.000
     767  -74.846   -7.785   26.102
     768  -82.449  -13.656   22.913
     769  -84.872    1.556   47.784
     770  -78.333   -7.963   41.323
     771  -83.236   -3.624   44.789
     772  -75.697  -16.172   37.961
     773  -70.816  -36.029   15.119
     774  -68.129  -27.618    8.551
