['./validate_dock_another_target_gB_dA/record_231.pdbqt', -6.98]
['./validate_dock_another_target_gB_dA/record_232.pdbqt', -6.51]
['./validate_dock_another_target_gB_dA/record_233.pdbqt', -7.04]
['./validate_dock_another_target_gB_dA/record_234.pdbqt', -7.02]
['./validate_dock_another_target_gB_dA/record_235.pdbqt', -7.46]
['./validate_dock_another_target_gB_dA/record_236.pdbqt', -6.5]
['./validate_dock_another_target_gB_dA/record_237.pdbqt', -7.66]
['./validate_dock_another_target_gB_dA/record_238.pdbqt', -7.29]
['./validate_dock_another_target_gB_dA/record_239.pdbqt', -7.6]
['./validate_dock_another_target_gB_dA/record_240.pdbqt', -6.68]
['./validate_dock_another_target_gB_dA/record_241.pdbqt', -6.63]
['./validate_dock_another_target_gB_dA/record_242.pdbqt', -6.66]
['./validate_dock_another_target_gB_dA/record_243.pdbqt', -6.57]
['./validate_dock_another_target_gB_dA/record_244.pdbqt', -6.38]
['./validate_dock_another_target_gB_dA/record_245.pdbqt', -6.45]
['./validate_dock_another_target_gB_dA/record_246.pdbqt', -6.58]
['./validate_dock_another_target_gB_dA/record_247.pdbqt', -6.29]
['./validate_dock_another_target_gB_dA/record_248.pdbqt', -6.34]
['./validate_dock_another_target_gB_dA/record_249.pdbqt', -6.46]
['./validate_dock_another_target_gB_dA/record_250.pdbqt', -6.48]
['./validate_dock_another_target_gB_dA/record_251.pdbqt', -6.19]
['./validate_dock_another_target_gB_dA/record_252.pdbqt', -7.98]
['./validate_dock_another_target_gB_dA/record_253.pdbqt', -7.73]
['./validate_dock_another_target_gB_dA/record_254.pdbqt', -7.42]
['./validate_dock_another_target_gB_dA/record_255.pdbqt', -7.15]
['./validate_dock_another_target_gB_dA/record_256.pdbqt', -7.29]
['./validate_dock_another_target_gB_dA/record_257.pdbqt', -7.42]
['./validate_dock_another_target_gB_dA/record_258.pdbqt', -7.33]
['./validate_dock_another_target_gB_dA/record_259.pdbqt', -7.03]
['./validate_dock_another_target_gB_dA/record_260.pdbqt', -7.29]
['./validate_dock_another_target_gB_dA/record_261.pdbqt', -7.5]
['./validate_dock_another_target_gB_dA/record_262.pdbqt', -6.88]
['./validate_dock_another_target_gB_dA/record_263.pdbqt', -7.2]
['./validate_dock_another_target_gB_dA/record_264.pdbqt', -7.42]
['./validate_dock_another_target_gB_dA/record_265.pdbqt', -7.16]
['./validate_dock_another_target_gB_dA/record_266.pdbqt', -7.29]
['./validate_dock_another_target_gB_dA/record_267.pdbqt', -7.16]
['./validate_dock_another_target_gB_dA/record_268.pdbqt', -7.2]
['./validate_dock_another_target_gB_dA/record_269.pdbqt', -7.17]
['./validate_dock_another_target_gB_dA/record_270.pdbqt', -7.04]
['./validate_dock_another_target_gB_dA/record_271.pdbqt', -7.35]
['./validate_dock_another_target_gB_dA/record_272.pdbqt', -7.25]
['./validate_dock_another_target_gB_dA/record_273.pdbqt', -7.22]
['./validate_dock_another_target_gB_dA/record_274.pdbqt', -6.78]
['./validate_dock_another_target_gB_dA/record_275.pdbqt', -6.67]
['./validate_dock_another_target_gB_dA/record_276.pdbqt', -7.32]
['./validate_dock_another_target_gB_dA/record_277.pdbqt', -6.71]
['./validate_dock_another_target_gB_dA/record_278.pdbqt', -6.82]
['./validate_dock_another_target_gB_dA/record_279.pdbqt', -6.58]
['./validate_dock_another_target_gB_dA/record_280.pdbqt', -6.96]
['./validate_dock_another_target_gB_dA/record_281.pdbqt', -6.94]
['./validate_dock_another_target_gB_dA/record_282.pdbqt', -6.46]
['./validate_dock_another_target_gB_dA/record_283.pdbqt', -6.67]
['./validate_dock_another_target_gB_dA/record_284.pdbqt', -6.52]
['./validate_dock_another_target_gB_dA/record_285.pdbqt', -6.54]
['./validate_dock_another_target_gB_dA/record_286.pdbqt', -6.75]
['./validate_dock_another_target_gB_dA/record_287.pdbqt', -6.38]
['./validate_dock_another_target_gB_dA/record_288.pdbqt', -6.04]
['./validate_dock_another_target_gB_dA/record_289.pdbqt', -6.06]
['./validate_dock_another_target_gB_dA/record_290.pdbqt', -7.38]
['./validate_dock_another_target_gB_dA/record_291.pdbqt', -7.56]
['./validate_dock_another_target_gB_dA/record_292.pdbqt', -7.18]
['./validate_dock_another_target_gB_dA/record_293.pdbqt', -7.21]
['./validate_dock_another_target_gB_dA/record_294.pdbqt', -7.11]
['./validate_dock_another_target_gB_dA/record_295.pdbqt', -7.19]
['./validate_dock_another_target_gB_dA/record_296.pdbqt', -6.31]
['./validate_dock_another_target_gB_dA/record_297.pdbqt', -6.92]
['./validate_dock_another_target_gB_dA/record_298.pdbqt', -6.58]
['./validate_dock_another_target_gB_dA/record_299.pdbqt', -6.34]
['./validate_dock_another_target_gB_dA/record_300.pdbqt', -6.6]
['./validate_dock_another_target_gB_dA/record_301.pdbqt', -6.32]
['./validate_dock_another_target_gB_dA/record_302.pdbqt', -6.5]
['./validate_dock_another_target_gB_dA/record_303.pdbqt', -6.99]
['./validate_dock_another_target_gB_dA/record_304.pdbqt', -6.26]
['./validate_dock_another_target_gB_dA/record_305.pdbqt', -6.19]
['./validate_dock_another_target_gB_dA/record_306.pdbqt', -5.84]
['./validate_dock_another_target_gB_dA/record_307.pdbqt', -7.16]
['./validate_dock_another_target_gB_dA/record_308.pdbqt', -5.92]
['./validate_dock_another_target_gB_dA/record_309.pdbqt', -6.45]
